,language,score,tweets,original_tweet,tweet_len,ttr,new_topic,probabilities
0,da,0.8531449610852122,jeg tror det der var kampen goff virker lost,"Jeg tror, det der var kampen. Goff virker lost",9,1.0,1,1.0
1,da,0.9999952199198876,v d ikke hvor gammel du er men på min glad liste er stig møllers sikke n dejlig dag det er i dag også gnags lav sol over århus safari slingrer ned af vestergade sensommer på strøget plus mange andre,"@USER Véd ikke hvor gammel du er, men på min ""Glad-liste"" er Stig Møllers ""Sikke´n dejlig dag det er i dag"" - også Gnags ""Lav sol over Århus"", ""Safari"", ""Slingrer ned af Vestergade"", ""Sensommer på Strøget"" plus mange andre.",40,0.9,0,1.0
2,da,0.9999941476443268,næste gang nogen kalder eu for fredens projekt kommer jeg til at eksplosiv ørle eudk ep dk dkpol daxitnu,"Næste gang nogen kalder EU for ""fredens projekt"", kommer jeg til at eksplosiv-ørle!! #eudk #ep19dk #dkpol #daxitNU [LINK]",19,1.0,4,0.5364770408375878
3,da,0.9999943653663277,jeg ser heller ikke nyheder så ofte længere de dukker så op på twitter men jeg så engang mange debatprogrammer det gør jeg heller ikke mere i så høj grad niveauet og prioriteringerne har ændret sig ret drastisk imo og det er ikke til det bedre,"@USER @USER @USER Jeg ser heller ikke nyheder så ofte længere (de dukker så op på Twitter, men...) Jeg så engang mange debatprogrammer - det gør jeg heller ikke mere i så høj grad. Niveauet og prioriteringerne har ændret sig ret drastisk, IMO og det er IKKE til det bedre :((",46,0.7608695652173914,3,1.0
4,da,0.8571381407322844,klart nu skal der glattes ud spin fra klubbens side se hele scenariet igen der var ingenting at misforstå i kommunikationen fra kepa om at han var klar igen,"@USER Klart - nu skal der glattes ud. Spin fra klubbens side. Se hele scenariet igen. Der var ingenting at misforstå i kommunikationen fra Kepa om, at han var klar igen.",29,0.8275862068965517,0,0.5173489200543278
5,da,0.999993398874528,det er pinligt det er skamfuldt det er ikke superligaen værdigt sldk bandegate bandekonflikt fckfcm,"@USER Det er pinligt, det er skamfuldt det er ikke superligaen værdigt! #sldk #bandegate #bandekonflikt #fckfcm",15,0.7333333333333333,1,0.653949149350583
6,da,0.9999966084738295,naturen er i krise og mangfoldigheden går tilbage i katastrofalt tempo vi tror på at vi skal genetablere et nært forhold til naturen for at bekymre os om den og passe på den derfor foreslår vi en demokratisering af vores natur dkpol dkgreen fv,"Naturen er i krise og mangfoldigheden går tilbage i katastrofalt tempo. Vi tror på, at vi skal genetablere et nært forhold til naturen for at bekymre os om den - og passe på den. Derfor foreslår vi en demokratisering af vores natur [LINK] #dkpol #dkgreen #fv19",44,0.8181818181818182,5,0.5043964766755598
7,da,0.9999941663788453,sammen med har jeg talt med en del af de ft medlemmer der stopper om hvorfor de stopper og om dansk politik anno der var nogle interessante refleksioner undervejs dkpol,"Sammen med @USER har jeg talt med en del af de ft-medlemmer, der stopper, om hvorfor de stopper og om dansk politik anno 2018. Der var nogle interessante refleksioner undervejs #dkpol [LINK]",30,0.8333333333333334,-1,0.26856933036528485
8,da,0.9999952040546657,det er overordnet en konjunkturer effekt men hvor grupper med lav besk oplever de største stigninger i beskæftigelsesgraden så ja de bidrog også men de er ikke så mange at de kan flytte den aggregerede kurve så meget,"@USER Det er overordnet en konjunkturer effekt, men hvor grupper med lav besk. oplever de største stigninger i beskæftigelsesgraden - så ja, de bidrog også, men de er ikke så mange at de kan flytte den aggregerede kurve så meget",38,0.8157894736842105,2,0.6822755045685719
9,da,0.9999954147309542,det har du fuldstændigt ret i og det er et stort problem for dkmedier at det ikke er lykkes at skabe en ordentlig booking platform til dette segment,"@USER Det har du fuldstændigt ret i, og det er et stort problem for #dkmedier, at det ikke er lykkes at skabe en ordentlig booking-platform til dette segment.",28,0.8571428571428571,3,0.20721787545123577
10,da,0.9999950653720573,skal du med ud og samle affald på søndag der er mere end tusind lokale indsamlinger tilmeldt den store affaldsindsamling på søndag find en indsamling nær dig og blive affaldshelt for en dag dkgreen trashtag affaldsindsamlingen,"Skal du med ud og samle affald på søndag? ♻️🥫🚬
Der er mere end tusind lokale indsamlinger tilmeldt den store affaldsindsamling på søndag. Find en indsamling nær dig og blive affaldshelt for en dag 👉 [LINK] #dkgreen #TrashTag #affaldsindsamlingen [LINK]",36,0.8888888888888888,-1,0.16620552159251564
11,da,0.9999921495442616,nu er det op til may regeringen selv at vælge enten den ansvarlige kurs som eu har skitseret eller at fortsætte kursen mod hard brexit professor derek beach may insisterer på at føre storbritannien mod afgrunden abon dkpol eudk,"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): [LINK] #dkpol #eudk [LINK]",39,0.8974358974358975,4,1.0
12,da,0.9999952180722924,eller fordi det er godt at se hvor dårligt livet var før i tiden de gode gamle dage findes ikke,@USER Eller fordi det er godt at se hvor dårligt livet var før i tiden. De gode gamle dage findes ikke,20,1.0,-1,0.29112130727604413
13,da,0.9999945904763518,legekæden hvis ikke folk bruger os så kan det være os der må lukke næste gang dette er en plus artikel,"Legekæden: Hvis ikke folk bruger os, så kan det være os, der må lukke næste gang (Dette er en plus-artikel) [LINK]",21,0.9523809523809523,0,1.0
14,da,0.9999947224702161,tilskuer boom i superligaen fck spurter frem brøndby fcklive agf fcm aab,Tilskuer-boom i Superligaen: FCK spurter frem [LINK] #brøndby #fcklive #agf #fcm #aab,12,1.0,1,0.39012774098587455
15,da,0.9999962514093874,gange kaptain arbejder i samme virksomhed,4 gange Kaptain arbejder i samme virksomhed [LINK],6,1.0,-1,0.29371350975170135
16,da,0.9999945005527421,det er lige med at holde på hat og briller det bliver en dag fyldt med blæst,Det er lige med at holde på hat og briller. Det bliver en dag fyldt med blæst 🌬🌬 [LINK],17,0.8823529411764706,0,1.0
17,da,0.9999950616651804,tja nu er jeg ikke df er og bliver det aldrig men det er dybt problematisk at unge mænd tyranniserer en bydel brønshøj torv får drevet vognen væk efter massiv chikane stenkast kanonslag osv fordi den serverer svinekød at df buger det som stunt er fordi ingen har ageret før,"@USER Tja, nu er jeg ikke DF'er og bliver det aldrig, MEN det er dybt problematisk at unge mænd tyranniserer en bydel/Brønshøj Torv, får drevet vognen væk efter massiv chikane, stenkast, kanonslag osv, fordi den serverer svinekød! At DF buger det som stunt er fordi ingen har ageret før",50,0.84,-1,0.24082186563107852
18,da,0.9962212519678575,jeg er dybt bekymret dkpol dkhandicap,Jeg er dybt bekymret!! #dkpol #dkhandicap [LINK],6,1.0,2,0.1635977988846832
19,da,0.9999967617109663,at venstre fotoshopper deres politik ved alle men hvorfor også billederne af deres politikere er der intet ægte i det parti,"@USER At Venstre fotoshopper deres politik ved alle, men hvorfor også billederne af deres politikere? Er der intet ægte i det parti [LINK]",21,0.9523809523809523,1,0.37304197599937533
20,da,0.999994875706489,nyopførte parcelhuse er i snit procent større end i mens stigningen for stuehuse ligger på siden dkbiz dkbol dkøko dkcre kilde,"Nyopførte parcelhuse er i snit 86 % procent større end i
1957, mens stigningen for stuehuse ligger på 56 % siden 1964.
#dkbiz #dkbol #dkøko #dkcre @USER Kilde: @USER [LINK]",21,0.9523809523809523,-1,0.06992967649169132
21,no,0.9021028650665811,kommer riskær i folketinget,Kommer Riskær i Folketinget?,4,1.0,-1,0.22253722162834308
22,da,0.9999952190148682,kommer til at hjælpe med at strømline og eksekvere strategi og selvfølgelig skal vores presspil nuanceres og udvikles men det kommer den nye træner til at stå for tror ikke vi kommer til at være så ultimative i presset som under az men mindre er også ok,"@USER @USER @USER kommer til at hjælpe med at strømline og eksekvere Strategi 6.4. Og selvfølgelig skal vores presspil nuanceres og udvikles, men det kommer den nye træner til at stå for. Tror ikke vi kommer til at være så ultimative i presset, som under AZ, men mindre er også ok.",47,0.7872340425531915,-1,0.15580289548517712
23,da,0.9999951609600627,jonas kamper gør comeback i randers fc som sælger sldk,Jonas Kamper gør comeback i Randers FC - som sælger. #sldk [LINK],10,1.0,0,0.8878727708317922
24,da,0.9999949199344169,det er helt fair game hvis det er dine egne filer og man f eks baserer statistikken på server logs men at omskrive href til href snooping script redirect er over grænsen synes jeg,"@USER @USER Det er helt fair game, hvis det er dine egne filer og man f.eks. baserer statistikken på server-logs, men at omskrive href=“[LINK]” til href=“/snooping-script?redirect=[LINK]” er over grænsen, synes jeg.",34,0.8823529411764706,-1,0.2832894358982131
25,da,0.9999940829157562,farum lilleskole flytter ind hos fc nordsjælland,Farum Lilleskole flytter ind hos FC Nordsjælland [LINK],7,1.0,6,0.34882260970190604
26,da,0.42856957023089903,godt nok er du bibliotrice men nej det her kan jeg dokumentere,"@USER @USER @USER Godt nok er du bibliotrice, men nej det her kan jeg dokumentere 😜",12,1.0,0,1.0
27,da,0.9999947580906814,det altså lidt vildt det her schweizisk højrefløjspolitiker begrunder valgnederlag i at de druknede i en grøn bølge en bølge der opstod efter tale i davos ringe i vandet folkens noget er sgu i gære grøntvalg dkpol dkgreen,"Det altså lidt vildt det her!

Schweizisk højrefløjspolitiker begrunder valgnederlag i at de “druknede i en grøn bølge”!

En “bølge” der opstod efter @USER’s tale i Davos.

Ringe i vandet folkens.
Noget er sgu i gære!

#GrøntValg
#dkpol #dkgreen
[LINK]",38,0.8157894736842105,-1,0.23811923299157522
28,da,0.9999929039043296,det er da et fantastisk initiativ børnene får en bevidsthed om natur miljø vi får ryddet op og mon ikke vores skoler bruger nogle undervisningstimer i denne uge der relaterer til natur miljø win win dkpol,"@USER @USER @USER Det er da et fantastisk initiativ.. Børnene får en bevidsthed om natur/miljø.. Vi får ryddet op.. Og mon ikke vores skoler bruger nogle undervisningstimer i denne uge, der relaterer til Natur/Miljø..?? Win-Win..👍👍 #dkpol..",36,0.8888888888888888,7,0.5180085086808967
29,da,0.9999952313638316,liverpool er selvsagt klasser bedre end huddersfield men keita blir en kæmpe profil næste sæson sammen med alex oxlade chamberlain kan det blive en voldsom midtbane pldk,"Liverpool er selvsagt klasser bedre end Huddersfield, men Keita blir en kæmpe profil næste sæson. Sammen med Alex Oxlade-Chamberlain kan det blive en voldsom midtbane #pldk",27,0.9629629629629629,1,1.0
30,da,0.9999951360436412,tysk vækst og stærke afgrøder skal sikre dlg rekordår i,Tysk vækst og stærke afgrøder skal sikre DLG rekordår i 2019 [LINK],10,1.0,5,0.16864869479732508
31,da,0.9999948997376257,en oplysning som vi ikke må overse i sundhedsvæsenet skal vi behandle hinanden med respekt og ordentlighed,"En oplysning, som vi ikke må overse! I sundhedsvæsenet skal vi behandle hinanden med respekt og ordentlighed. [LINK]",17,0.9411764705882353,2,0.18641243776964486
32,da,0.9999938640542083,leo vegas hvor en årig kvinde forleden tabte en halv mio kr på et døgn er i dag klar med endnu en ulovlig annonce leveret af det er utroligt at danske politikere bliver ved med at tro at bookmakerne regulerer sig selv utopia dkpol,"Leo Vegas, hvor en 42-årig kvinde forleden tabte en halv mio. kr. på et døgn, er i dag klar med endnu en ulovlig annonce leveret af [LINK] Det er utroligt, at danske politikere bliver ved med at tro, at bookmakerne regulerer sig selv #Utopia #dkpol [LINK]",44,0.8636363636363636,4,0.566883148587205
33,da,0.999994139813227,dansk twitter diskuterer ofte emner som jeg ikke har en mening om hverken radio syv eller dkr satire ingen af delene siger mig alverden måske er det et signal om at jeg burde lytte mere til radio et radiosignal,"Dansk Twitter diskuterer ofte emner, som jeg ikke har en mening om. Hverken Radio 24syv eller DKR satire. Ingen af delene siger mig alverden.

Måske er det et signal om, at jeg burde lytte mere til radio. Et radiosignal.",39,0.8974358974358975,-1,0.15809284839760562
34,da,0.8533423151222944,nu er det jo sådan at respekt er noget man skal gøre sig fortjent til og det har himmelnisserne ikke gjort for mit vedkommende,@USER @USER Nu er det jo sådan at respekt er noget man skal gøre sig fortjent til. Og det har himmelnisserne ikke gjort for mit vedkommende.,24,0.9166666666666666,-1,0.19769707655467827
35,da,0.9999953516910944,der er mange knuste æg men ingen omelet,"@USER Der er mange knuste æg, men ingen omelet!",8,1.0,0,0.4376467818937799
