,Unnamed: 0,language,score,text,label,tweet_len,original_tweet,new_topic,probabilities
0,0,da,0.94187483801218,jeg tror det der var kampen goff virker lost,negative,9,"Jeg tror, det der var kampen. Goff virker lost",3,1.0
1,1,da,0.9999943675367836,v d ikke hvor gammel du er men på min glad liste er stig møllers sikke n dejlig dag det er i dag også gnags lav sol over århus safari slingrer ned af vestergade sensommer på strøget plus mange andre,positive,38,"Véd ikke hvor gammel du er, men på min ""Glad-liste"" er Stig Møllers ""Sikke´n dejlig dag det er i dag"" - også Gnags ""Lav sol over Århus"", ""Safari"", ""Slingrer ned af Vestergade"", ""Sensommer på Strøget"" plus mange andre.",0,0.6526943207366567
2,2,da,0.9999939152582948,næste gang nogen kalder eu for fredens projekt kommer jeg til at eksplosiv ørle eudk ep dk dkpol daxitnu,negative,17,"Næste gang nogen kalder EU for ""fredens projekt"", kommer jeg til at eksplosiv-ørle!! #eudk #ep19dk #dkpol #daxitNU",-1,0.1674258468732511
3,3,da,0.9999941209273594,jeg ser heller ikke nyheder så ofte længere de dukker så op på twitter men jeg så engang mange debatprogrammer det gør jeg heller ikke mere i så høj grad niveauet og prioriteringerne har ændret sig ret drastisk imo og det er ikke til det bedre,negative,48,"Jeg ser heller ikke nyheder så ofte længere (de dukker så op på Twitter, men...) Jeg så engang mange debatprogrammer - det gør jeg heller ikke mere i så høj grad. Niveauet og prioriteringerne har ændret sig ret drastisk, IMO og det er IKKE til det bedre :((",-1,0.18543418855674215
4,4,da,0.9978080717511892,klart nu skal der glattes ud spin fra klubbens side se hele scenariet igen der var ingenting at misforstå i kommunikationen fra kepa om at han var klar igen,negative,30,"Klart - nu skal der glattes ud. Spin fra klubbens side. Se hele scenariet igen. Der var ingenting at misforstå i kommunikationen fra Kepa om, at han var klar igen.",3,0.37612874703748084
5,5,da,0.9999954857128488,det er pinligt det er skamfuldt det er ikke superligaen værdigt sldk bandegate bandekonflikt fckfcm,negative,15,"Det er pinligt, det er skamfuldt det er ikke superligaen værdigt! #sldk #bandegate #bandekonflikt #fckfcm",3,1.0
6,6,da,0.9999959011292182,naturen er i krise og mangfoldigheden går tilbage i katastrofalt tempo vi tror på at vi skal genetablere et nært forhold til naturen for at bekymre os om den og passe på den derfor foreslår vi en demokratisering af vores natur dkpol dkgreen fv,negative,45,"Naturen er i krise og mangfoldigheden går tilbage i katastrofalt tempo. Vi tror på, at vi skal genetablere et nært forhold til naturen for at bekymre os om den - og passe på den. Derfor foreslår vi en demokratisering af vores natur #dkpol #dkgreen #fv19",10,0.5661152869893908
7,7,da,0.9999933805011336,sammen med har jeg talt med en del af de ft medlemmer der stopper om hvorfor de stopper og om dansk politik anno der var nogle interessante refleksioner undervejs dkpol,neutral,30,"Sammen med har jeg talt med en del af de ft-medlemmer, der stopper, om hvorfor de stopper og om dansk politik anno 2018. Der var nogle interessante refleksioner undervejs #dkpol",4,0.5810201250505559
8,8,da,0.9999947549168438,det er overordnet en konjunkturer effekt men hvor grupper med lav besk oplever de største stigninger i beskæftigelsesgraden så ja de bidrog også men de er ikke så mange at de kan flytte den aggregerede kurve så meget,neutral,39,"Det er overordnet en konjunkturer effekt, men hvor grupper med lav besk. oplever de største stigninger i beskæftigelsesgraden - så ja, de bidrog også, men de er ikke så mange at de kan flytte den aggregerede kurve så meget",9,0.5923006883605123
9,9,da,0.9999944710165932,det har du fuldstændigt ret i og det er et stort problem for dkmedier at det ikke er lykkes at skabe en ordentlig booking platform til dette segment,positive,27,"Det har du fuldstændigt ret i, og det er et stort problem for #dkmedier, at det ikke er lykkes at skabe en ordentlig booking-platform til dette segment.",9,0.4844831588658038
