,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,@USER @USER @USER Helt ærligt I spillede fantastisk! I spillede Fnatic ud af banen igår. Der er bare så stor afstand op til G2. EU sender helt klart det bedste hold til MSI. Håber i kan lære noget af G2 når i hopper ind i summersplit. Held og lykke og god ferie :),[-2.7690613  -0.08532578  2.033131  ],[0.00727713 0.10653489 0.88618803]
1,negative,negative,TRUE,"@USER Nu har jeg ikke set straffesparket fra Pokalkampen Fcb-Bremen men har læst at det var skandaløst at den blev dømt. (Kun Bayernfolk der mente den var god nok) men når dommeren er blevet frataget kommende tjanser, og DFB har været ude og undskylde, så er der et kæmpe problem",[ 7.184164  -4.4766946 -3.6717808],[9.9997211e-01 8.6246500e-06 1.9289058e-05]
2,negative,negative,TRUE,"@USER Det var faktisk kun derfor tweetet blev skrevet, så jeg kunne smide den bombe! 💣",[ 6.2541504 -3.7374775 -3.319629 ],[9.9988472e-01 4.5776353e-05 6.9520123e-05]
3,neutral,neutral,TRUE,@USER @USER Præcis... Det er jo FREDENS religion😏,[-3.0534616  4.696469  -3.3135078],[4.3044414e-04 9.9923766e-01 3.3187936e-04]
4,positive,positive,TRUE,Merete Eldrup stopper som topchef i TV 2 [LINK],[-3.128175  -2.0829523  4.0861344],[7.3390221e-04 2.0872422e-03 9.9717891e-01]
5,positive,positive,TRUE,Nordjysk firma står bag Tysklands største solvarmeanlæg [LINK] [LINK],[-2.8408113 -2.7976885  4.412927 ],[7.0650264e-04 7.3763542e-04 9.9855584e-01]
6,neutral,neutral,TRUE,at få elever til at vælge en håndværkeruddannelse kræver at de ser håndværksfagene som en attraktiv vej ind i et spændende arbejdsliv. Heldigvis er det ikke længere lavstatus at være håndværker...... [LINK],[-3.2760668  4.8933477 -3.3451283],[2.8302878e-04 9.9945277e-01 2.6414217e-04]
7,positive,positive,TRUE,"@USER @USER Det er vel ikke mediernes opgave at opdrage danskerne til at opføre sig ordentligt ? @USER belyser et problem og en udfordring. Men det er da op til os på stemmesedlen at få gjort noget ved problemet. Thumps up for den leder Tom #dkpol #dkmedier #ftvalg2019 
#krp",[-2.8802595 -2.8423517  4.4554763],[6.5095909e-04 6.7610940e-04 9.9867296e-01]
8,positive,positive,TRUE,"PET er ikke blevet informeret i en lang række sager om radikaliseringsmistænkte på asylcentre og udrejsecentre. Heller ikke når de er forsvundet fra centrene. 46 er væk, og kun i 3 af sagerne er PET blevet orienteret om det. Samråd på tirsdag #dkpol @USER [LINK]",[-2.7198153 -2.7906234  4.303345 ],[8.8947418e-04 8.2867040e-04 9.9828184e-01]
9,positive,neutral,MISS,"@USER Det kan du sige, men med Artikel 13 bliver det jo det samme alle steder som fx også YouTube. Og som privat har man bare ikke det samme resch på sin egen blog",[-2.099814   -0.76951903  2.1127775 ],[0.01382869 0.05230226 0.93386906]
