,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,@USER @USER @USER Helt ærligt I spillede fantastisk! I spillede Fnatic ud af banen igår. Der er bare så stor afstand op til G2. EU sender helt klart det bedste hold til MSI. Håber i kan lære noget af G2 når i hopper ind i summersplit. Held og lykke og god ferie :),[-3.2785466  3.076424  -0.7086494],[0.00169661 0.976138   0.02216536]
1,negative,negative,TRUE,"@USER Nu har jeg ikke set straffesparket fra Pokalkampen Fcb-Bremen men har læst at det var skandaløst at den blev dømt. (Kun Bayernfolk der mente den var god nok) men når dommeren er blevet frataget kommende tjanser, og DFB har været ude og undskylde, så er der et kæmpe problem",[ 4.8305693 -3.1081095 -2.1179945],[9.9868506e-01 3.5620842e-04 9.5875084e-04]
2,negative,negative,TRUE,"@USER Det var faktisk kun derfor tweetet blev skrevet, så jeg kunne smide den bombe! 💣",[ 5.425808  -3.3679779 -2.5232148],[9.9949563e-01 1.5159613e-04 3.5282894e-04]
3,neutral,neutral,TRUE,@USER @USER Præcis... Det er jo FREDENS religion😏,[-3.006016   3.9811172 -2.0549426],[9.2063937e-04 9.9669635e-01 2.3830622e-03]
4,positive,positive,TRUE,Merete Eldrup stopper som topchef i TV 2 [LINK],[-2.6871283 -1.6474261  3.5590417],[0.00192359 0.00544064 0.9926358 ]
5,positive,positive,TRUE,Nordjysk firma står bag Tysklands største solvarmeanlæg [LINK] [LINK],[-1.9270711 -2.6460395  3.7552629],[0.00338844 0.00165103 0.99496055]
6,neutral,neutral,TRUE,at få elever til at vælge en håndværkeruddannelse kræver at de ser håndværksfagene som en attraktiv vej ind i et spændende arbejdsliv. Heldigvis er det ikke længere lavstatus at være håndværker...... [LINK],[-3.201906   4.207324  -2.1263623],[6.0419808e-04 9.9762458e-01 1.7712592e-03]
7,positive,positive,TRUE,"@USER @USER Det er vel ikke mediernes opgave at opdrage danskerne til at opføre sig ordentligt ? @USER belyser et problem og en udfordring. Men det er da op til os på stemmesedlen at få gjort noget ved problemet. Thumps up for den leder Tom #dkpol #dkmedier #ftvalg2019 
#krp",[-2.12729   -2.4787295  3.7857084],[0.00269167 0.00189406 0.99541426]
8,positive,positive,TRUE,"PET er ikke blevet informeret i en lang række sager om radikaliseringsmistænkte på asylcentre og udrejsecentre. Heller ikke når de er forsvundet fra centrene. 46 er væk, og kun i 3 af sagerne er PET blevet orienteret om det. Samråd på tirsdag #dkpol @USER [LINK]",[-1.9370933 -2.5606482  3.6894238],[0.00358129 0.0019197  0.994499  ]
9,positive,neutral,MISS,"@USER Det kan du sige, men med Artikel 13 bliver det jo det samme alle steder som fx også YouTube. Og som privat har man bare ikke det samme resch på sin egen blog",[-2.6487267 -1.5481751  3.4133945],[0.00230792 0.00693719 0.9907549 ]
10,neutral,neutral,TRUE,"Søndag kl. 12.00 går det løs ude mod Hobro IK på DS Arena.

Nicolai Poulsen er ude med karantæne, mens Mads Aaquist er skadet. Kevin Conboy døjer lidt med en skade og starter på bænken. På bænken sidder også U19-spilleren Tobias Klysner, der kan få debut #randersfc #sldk [LINK]",[-3.5441315  3.9826987 -1.5445096],[5.3602183e-04 9.9550480e-01 3.9591985e-03]
11,positive,positive,TRUE,Fredagens Sikre valg fra den franske liga.. Så blev det weekend igen og foråret ser ud til virkelig at have taget godt fat i Danmark og det er jo noget der får humøret til at stige helt automatisk. [LINK],[-2.9128153  -0.66182685  2.7940178 ],[0.00321116 0.03049679 0.966292  ]
12,positive,positive,TRUE,"@USER @USER Paludan er vanvittig,men det virkelig problem er at vi har mennesker i vores samfund, der ikke vil acceptere de helt grundlæggende friheder om retten til at ytrer sig. I et sekulært samfund, skal religion kun tåle at bliver hånet, latterliggjort og kritiseret i enhver form #dkpol",[-1.7102034 -2.6972332  3.6004295],[0.00490554 0.00182821 0.9932662 ]
13,positive,neutral,MISS,Hvad betyder politiske beslutninger for vores velfærd i de danske byer? Vi bidrager gerne med uafhængig byøkonomisk viden til dit #fmdk arrangement. #dkbiz #uddpol #dktrp #dkbolig #dkforsk. Kontakt:[LINK] [LINK],[-2.6553512 -1.1937988  3.1147528],[0.00306858 0.0132337  0.9836977 ]
14,positive,neutral,MISS,Når man er på besøg på en anden afdeling af ens virksomhed og kollegerne der behandler en som en spændende ny livsform og med stor respekt. Det er sgu sjovt :-D #arbejde #menneskerersjove #tillidsvalgt #hygge,[-2.0758219 -1.7801026  3.1338549],[0.00539435 0.00725051 0.9873552 ]
15,neutral,positive,MISS,"@USER I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[-3.181574   4.1816506 -2.1051168],[6.3257181e-04 9.9751127e-01 1.8561343e-03]
16,negative,negative,TRUE,"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): [LINK] #dkpol #eudk [LINK]",[ 5.471172  -3.4286492 -2.5786   ],[9.9954468e-01 1.3635118e-04 3.1902929e-04]
17,neutral,neutral,TRUE,"Hvis du ikke er i fanzonen og gerne vil høre @USER-live. Så kan du nå det endnu. I panelet er @USER, @USER, @USER og Kasper Fisker. Skynd dig💛💙 [LINK]",[-3.4542572  3.167135  -0.7112155],[0.00130289 0.97845775 0.02023932]
18,positive,positive,TRUE,"@USER @USER Ved ikke om det er fair eller ej, men som forbruger mener jeg det er fair nok. Kvickly vil også gerne selv sammenligne sig med andre. Så syntes jeg Rema er en del over discountniveauet. Jeg lægger også stortset alle indkøb i Rema og er iøvrigt tidligere Coop ansat 😉",[-2.0712116 -2.443082   3.7216039],[0.00303376 0.0020916  0.99487466]
19,negative,negative,TRUE,"@USER Men fair nok. Det er muligvis blevet bedre. Synes det, at det er underligt at sætte Messi under loop efter én gang, hvor han giver efter for de utallige svinestreger, han bliver udsat for. Jeg synes bestemt ikke det er kendetegnene for hans spil.",[ 3.913767  -1.8855491 -2.5095859],[0.99536884 0.00301559 0.00161569]
20,neutral,neutral,TRUE,@USER @USER @USER Bekræfte hvad?,[-3.1763785  4.13474   -2.094676 ],[6.6631148e-04 9.9736828e-01 1.9654166e-03]
21,negative,negative,TRUE,"Denne artikel om Socialdemokratiets (kommende?) kulturpolitik er blevet diskuteret grundigt de seneste dage. Det er skønt, at kulturpolitik, der ellers ofte er i bunden af vælgernes prioriterede... [LINK]",[ 5.590645  -3.5401564 -2.5799305],[9.9960905e-01 1.0823647e-04 2.8274470e-04]
22,neutral,neutral,TRUE,@USER @USER Har du et link?,[-3.2169611  3.954048  -1.760124 ],[7.6543348e-04 9.9594903e-01 3.2855177e-03]
23,positive,positive,TRUE,"@USER @USER Uhh jeg er helt klar over grunden, det ændrer ikke på et grundfundament i et demokrati, er at, de folkevalgte stiller sig selv til rådighed for befolkningen igennem #dkmedier især når der er truffet upopulære beslutninger.",[-2.3533444 -2.2970464  3.8388424],[0.00203678 0.00215473 0.9958085 ]
24,positive,neutral,MISS,"@USER Ej.. Nu må den ""jeg føler mig krænket""-plage, der har ramt landet, simpelthen stoppe!!! Kan ikke holde det ud.. Det er SATIRE.. Slå det op, læs om det, hvis I ikke forstår det..!!!",[-2.3139708 -2.2773707  3.7895958],[0.00222475 0.00230769 0.99546754]
25,positive,neutral,MISS,"Virkeligheden kalder @USER
[LINK]
Lytter du?
225 timers reglen er utroligt stressende. Det skubber en stor andel længere væk fra job. Endda #ptsd ramte kan omfattet af 225 timers reglen! #Vejle 
#dksocial #225timer #365timer #kontanthjælpsloftet",[-1.8407102 -2.6748874  3.685853 ],[0.00395706 0.00171828 0.9943246 ]
26,positive,positive,TRUE,"RT @USER: Der findes gode mennesker
Der findes onde mennesker
Og så er der dem som mig
😂😂😂😂",[-1.903555  -2.6197479  3.7101932],[0.00362768 0.00177252 0.9945998 ]
27,positive,negative,MISS,"Finland tager prisen for mest fucked up valgsystem i Nordeuropa. Ingen som helst sammenhæng mellem frem- og tilbagegang og mandattal. Det er helt fjollet. #vaalit19 

 [LINK]",[-2.5181606 -1.8215126  3.5238283],[0.00235996 0.00473647 0.99290353]
28,neutral,neutral,TRUE,"Har du booket sommerferien? Super! Næste trin er at opkvalificere dig inden det bliver alt for varmt. Læs mere om tilbud på Leading SAFe (SA), Product Owner og Scrum Master kurser: [LINK] #agile #training #summer [LINK]",[-3.0446897  4.14268   -2.203501 ],[7.5418252e-04 9.9749678e-01 1.7490417e-03]
29,neutral,negative,MISS,Denne her perspektivering på lønudviklingen i #pldk bliver du næppe overrasket over. Men du bliver bestemt heller ikke dummere af at læse den [LINK],[-1.5370392  2.4943182 -1.6683822],[0.01717793 0.96775836 0.01506361]
