,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,"Det har jeg ingen interesse i at vide, men det er vigtigt at den slags prædikater også giver et reelt billede af hensigterne, som i første tilfælde er at forhindre radikaisering, og i andet er at skabe rammer for tryg interaktion og identifikation.",[-3.137564   3.0423026 -1.1022496],[0.00203425 0.9823943  0.01557147]
1,positive,negative,MISS,"I dag glemte jeg mit dankort i en butik. En medarbejder løb efter mig og gav det til mig. Med den slags held i sprøjten, så ved man bare, at resten af ugen bliver uheld på uheld på uheld. Godt det snart er mandag igen.",[-0.8185613 -0.4596606  1.5995636],[0.07322495 0.10484017 0.8219349 ]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.7068183   3.2883334  -0.79811746],[0.00244366 0.9810755  0.01648084]
3,neutral,neutral,TRUE,"Her er øjeblikket, der stjal opmærksomheden til Oscar-showet,",[-1.8863978  2.5434077 -1.9652356],[0.01164968 0.9775839  0.01076652]
4,neutral,neutral,TRUE,Intet nyt i finanskriser... @ Børsen,[ 0.281495   3.0669806 -4.275676 ],[5.807816e-02 9.413125e-01 6.093387e-04]
5,positive,neutral,MISS,Skjern-træner: Vi tabte i sidste ende til et klart bedre hold -,[-4.400482   1.2995421  3.7502217],[2.6555551e-04 7.9367772e-02 9.2036664e-01]
6,positive,positive,TRUE,Stor ros til for ikke at støtte jeres dehumanisering af DK. #dkpol,[ 0.42447177 -2.0747004   2.4164212 ],[0.11887833 0.00976621 0.8713555 ]
7,neutral,negative,MISS,"Løbehjulene har en holdbarhed på en lille måned i gennemsnit. Så smides de til skrot. Der er er ca 400 løbehjul i København. Det giver mindst (400x12) 4800 elløbehjul til skrot om året. 
I den tid, de kører, samles de op og leveres af biler.
Det er ikke grønt i min optik. #dkpol",[-0.5555527  3.633943  -4.0430584],[1.4920897e-02 9.8462290e-01 4.5623703e-04]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 3.964365   -0.72919655 -3.3538146 ],[9.9027795e-01 9.0650301e-03 6.5691938e-04]
9,positive,positive,TRUE,"Jeg har tømmermænd på #delmøde19, men måtte alligevel på talerstolen for at opfordre salen til at tage fælles ansvar for at bekæmpe seksuelt upassende adfærd. har enstemmigt vedtaget at tilføje et afsnit om det til handlingsprogrammet - Jeg er rørt og glad 💪🏼",[-3.3598626 -2.1437054  5.588848 ],[1.298308e-04 4.380745e-04 9.994320e-01]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-2.0201592  4.4146724 -3.7204328],[1.6016396e-03 9.9810588e-01 2.9251314e-04]
11,neutral,negative,MISS,"Når man lige tænker over det...
Er det egentlig ikke pudsigt at der aldrig er blevet fulgt op på denne, med en ny måling.

:-))",[-0.7457135  1.4650854 -1.6404059],[0.09495112 0.86623913 0.03880969]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 3.606047    0.32511207 -3.8652468 ],[9.6324050e-01 3.6211196e-02 5.4826838e-04]
13,neutral,neutral,TRUE,Anmeldelse: Apokalypsens ryttere rider for tredje gang.,[-3.5506117  5.192237  -2.4463553],[1.5949638e-04 9.9935931e-01 4.8119735e-04]
14,positive,positive,TRUE,Vi er gået ind i en nyt kapitel for bannerreklamer. Det spil gad jeg godt spille! Jeg ville nok starte med at gøre noget ved Toftegårds Plads.,[-3.197049   1.1346626  1.6597863],[0.00486166 0.36984807 0.6252903 ]
15,positive,positive,TRUE,"RT @USER: Det gør vi nemlig 💚Kom og del din mening med os🤓
#dkpol #flerevedmere",[-4.0267353 -1.3059914  5.086245 ],[1.10029396e-04 1.67152344e-03 9.98218477e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 6.1623564 -1.9050027 -4.393778 ],[9.9966049e-01 3.1350396e-04 2.6024458e-05]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.4493365  -0.88259155  3.496944  ],[0.00257653 0.0123442  0.9850793 ]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.6471925  4.3035984 -2.510202 ],[9.5591159e-04 9.9794787e-01 1.0962561e-03]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.2036667 -2.0744536  5.9080706],[1.1031299e-04 3.4122256e-04 9.9954849e-01]
20,negative,negative,TRUE,Enig. Men hvor mange børn skal det også gå ud over? Hvor galt skal det gå før børnene bliver taget alvorligt? #hvorerderenvoksen #dkpol,[ 3.2574956  0.279244  -3.2280037],[0.9502026  0.04834794 0.00144944]
21,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 5.4182644 -1.3422197 -4.2711067],[9.9878079e-01 1.1572553e-03 6.1862826e-05]
22,neutral,negative,MISS,Han er ikke frikendt. Det havde krævet en retssag.,[-0.45452616  3.251245   -3.2664526 ],[0.02395697 0.9746035  0.00143955]
23,neutral,negative,MISS,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[-0.84698945  2.044342   -1.3910398 ],[0.05102646 0.91935813 0.02961538]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-0.4805375  3.1672466 -3.505995 ],[0.02535623 0.97341305 0.00123068]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 3.6499453  1.2627571 -5.3888803],[9.1574550e-01 8.4145740e-02 1.0870826e-04]
26,neutral,positive,MISS,"Arealer, der selv springer i skov er ikke i konflikt med gode klimaløsninger, OG de giver sandsynligvis en højere grad af biodiversitet #dkpol #dknatur",[ 0.5610375  1.8011322 -2.8131275],[0.22270787 0.7696651  0.00762701]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 3.4633148  1.1322278 -4.6463747],[9.1116947e-01 8.8556595e-02 2.7390860e-04]
28,neutral,positive,MISS,"Hvis det betyder lovgivning ud fra fakta i stedet for følelser og fornemmelser, så har du min stemme, @USER.",[ 1.157249   1.5665191 -2.816371 ],[0.39611435 0.5964367  0.00744902]
29,positive,negative,MISS,Tillykke med sejren. Brøndby er tilbage til start ;-),[-3.7677295 -1.325392   5.735877 ],[7.451288e-05 8.568904e-04 9.990687e-01]
30,negative,negative,TRUE,"Når man skal udregne så tager man skatteindtægterne fra alt og alle der arbejder indenfor tobak, det eneste du fatter og glor på er moms og skat plus afgifter ALENE på tobak, men glemmer at de som arbejder med tobak også betaler, så forsæt bare dine løgne",[ 5.3802094 -0.7701516 -4.6972466],[9.9783009e-01 2.1280837e-03 4.1925017e-05]
31,neutral,neutral,TRUE,Og læste du ikke Niggli et al?,[-0.3266174  2.136221  -2.8864462],[0.07803112 0.9159357  0.00603321]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 3.2402797  0.6116741 -3.9838629],[9.3204653e-01 6.7274228e-02 6.7925418e-04]
33,neutral,negative,MISS,Techordfører (hvis det findes) og medieordfører fra Dansk Folkeparti. Kunne jo så passende forklare hvad de har gang i #radio24syv,[ 1.0130081  2.8425488 -5.031934 ],[1.3824768e-01 8.6142468e-01 3.2762194e-04]
34,positive,neutral,MISS,"Nyt vækstforløb kickstarter innovation i Det Blå Danmark. Fem danske startups er udvalgt til at samarbejde med landets største selskaber i den maritime branche.
[LINK] #dkstartup #dkbiz #cphftw",[-4.672499   1.7657866  2.538941 ],[5.0475076e-04 3.1563777e-01 6.8385744e-01]
35,positive,positive,TRUE,Danmark genvinder EM-guld i badminton for blandede hold,[-4.9260535  0.5159748  4.6556664],[6.7892121e-05 1.5676988e-02 9.8425519e-01]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-3.471157   4.8151827 -2.4078112],[2.5168789e-04 9.9901950e-01 7.2889944e-04]
37,negative,neutral,MISS,det er faktisk ret interessant. Når jeg er afsted alene eller med andre voksne ænser jeg slet ikke sproget. Det er bare en del af stadion-larmen. Når jeg er afsted med ungerne bider jeg virkelig mærke i hvor grimt der snakkes og råbes.,[ 2.9903533 -0.1651276 -3.4574318],[0.95766914 0.04081385 0.00151697]
38,neutral,neutral,TRUE,Venezuelas præsidentudfordrer får udrejseforbud,[-2.4060335  4.8616686 -3.9457178],[6.9712277e-04 9.9915338e-01 1.4949714e-04]
39,negative,negative,TRUE,"Det tror jeg nu godt at man kunne få en længere debat omkring, hvem det egentlig er han mener her. Han får et konkret spørsmål, men bruger et generaliserende sprog i hans svar.....

Hvad han egentlig mener, er der nok ikke mange der er i tvivl om.",[ 2.2485502  1.5702535 -4.6468377],[0.6629132  0.33641562 0.00067116]
40,negative,negative,TRUE,"Fodboldfans og sange er altså en historie for sig selv! 
Så ufattelig mange sløje tekster og selvkonstruerede ord for at få noget til at lade som om det rimer.",[ 4.795844  -1.1173522 -3.2110302],[9.9697244e-01 2.6953458e-03 3.3215588e-04]
41,positive,positive,TRUE,"vil gerne i dialog med SMV’er og start-ups ang deling af data siger Knud Pedersen på DI Energis Årsdag. Dejligt at høre, at der lyttes, når det anbefales at ‘sætte data fri’ #grønvækst",[-3.560298  -1.273398   4.6139545],[2.8095840e-04 2.7658592e-03 9.9695313e-01]
42,neutral,neutral,TRUE,"Nethandel med Dankort fejrer 20 års fødselsdag i dag. Tilbageblik: Det er i dag 20 år siden, at det første køb med Dankort på nettet blev gennemført. Siden er det blevet til millioner af handler på nettet.",[-4.1490345  2.444432   1.3296425],[0.00103004 0.7522453  0.24672468]
43,neutral,neutral,TRUE,"⚽️ Der er i dag 6 #fodbold kampe/events mere, der vises direkte:

📺 1 på TV
💻 3 kun på @USER
💻 2 kun på @USER

#dksport #dkbold #sldk #pldk #laliga #seriea #cldk #eldk

🔗",[-3.5884948  4.6802206 -2.154639 ],[2.5607352e-04 9.9866974e-01 1.0741872e-03]
44,positive,negative,MISS,"@USER, hvor er det bare en uklædelig måde du omgår reglerne om kampagnestøtte. Du er jo udmærket klar over, hvad intentionen med loven er. Den burde du som borgerlig leve op til. Åbenhed er en styrke i politik. #dkpol #fv19",[ 0.47553563 -2.726364    2.3201127 ],[0.1357569  0.00552325 0.8587199 ]
45,negative,negative,TRUE,"Meget ærgerligt for Slagelse Kommune, fordi jeg er tæt på byen, hvor jeg kan få arbejdet i Korsør, det er bare et arbejde. De skal kunne tænke sig om.",[ 3.1926746 -1.506002  -1.4036838],[0.98116565 0.00893579 0.0098985 ]
46,neutral,negative,MISS,"At skulle vælge mellem Lars Løkke og Mette Frederiksen svarer til at skulle vælge mellem en far og en mor, det er enige 90 procent af tiden. #dkpol",[-1.8914541  3.6814325 -3.118869 ],[0.00378092 0.99511117 0.001108  ]
47,neutral,positive,MISS,Det vil jeg gerne kigge på.,[-1.7285419  2.2687569 -1.1796484],[0.01748796 0.9522345  0.03027754]
48,negative,negative,TRUE,Så er der jo fremtids sikret. Når man ser hvad der sker på vestkysten nemlig ikke en skid så kan jeg godt se hvorfor det bliver gjort. For der må da ikke kystsikres før det er for sent. Så jeg smiler bare.,[ 4.3633657 -0.4620133 -4.053731 ],[9.9182290e-01 7.9579046e-03 2.1924784e-04]
49,neutral,negative,MISS,Det hedder at klæbe sig til taburetten man ved er tabt alligevel. Husk I kun blev reddet af DF sidste gang,[-0.8035813  1.2141063 -1.6825593],[0.11190539 0.8416307  0.0464639 ]
50,negative,negative,TRUE,Mig heller ikke. Al magt til velfærds argumentet om den enkle fries lykkelige. Lad os i samlet flokkes kor nedlægge denne fucking irriterende natur planeten dyrene og træerne og insekterne der æder vores korn eller er det de vilde fugle. Lad os slaa disse fucking fugle ihjel.,[ 5.790695  -2.367837  -2.9892418],[9.9956006e-01 2.8615637e-04 1.5372016e-04]
51,negative,negative,TRUE,"Svar nu: hvem var det der brændte gaderne af, lavede hærværk? #dkpol #SelvIdioterHarYtringsfrihed",[ 4.7025833 -0.9797727 -3.8127234],[9.9640697e-01 3.3932896e-03 1.9965775e-04]
52,positive,positive,TRUE,"Det er da super, dine øjne er da vigtigere and valgkampen. Og bliver du ikke 100% brillefri går vel endda.",[-1.0076243 -2.7676778  3.8009067],[0.00808254 0.00139049 0.99052703]
53,positive,neutral,MISS,"Ja, kan du ikke bare være enig i det mest effektive tiltaket, så er vi ferdig? ;)",[-1.5087581 -2.2960567  3.948946 ],[0.00423705 0.00192816 0.99383485]
