,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,"Det har jeg ingen interesse i at vide, men det er vigtigt at den slags prædikater også giver et reelt billede af hensigterne, som i første tilfælde er at forhindre radikaisering, og i andet er at skabe rammer for tryg interaktion og identifikation.",[-2.6612067  2.6742108 -1.134537 ],[0.00469126 0.9737158  0.02159305]
1,positive,negative,MISS,"I dag glemte jeg mit dankort i en butik. En medarbejder løb efter mig og gav det til mig. Med den slags held i sprøjten, så ved man bare, at resten af ugen bliver uheld på uheld på uheld. Godt det snart er mandag igen.",[-0.8896283  -0.29277977  1.487532  ],[0.07358    0.13364965 0.7927704 ]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.505477   3.082831  -0.7212206],[0.00364647 0.9746382  0.02171525]
3,neutral,neutral,TRUE,"Her er øjeblikket, der stjal opmærksomheden til Oscar-showet,",[-1.7294505  2.1974213 -1.7276947],[0.01895744 0.9620518  0.01899076]
4,neutral,neutral,TRUE,Intet nyt i finanskriser... @ Børsen,[ 0.21451011  2.8718638  -3.9551096 ],[0.06547089 0.9335171  0.00101206]
5,positive,neutral,MISS,Skjern-træner: Vi tabte i sidste ende til et klart bedre hold -,[-4.2756186  1.5612622  3.2820606],[4.4265340e-04 1.5170117e-01 8.4785610e-01]
6,positive,positive,TRUE,Stor ros til for ikke at støtte jeres dehumanisering af DK. #dkpol,[-4.8519179e-04 -1.8739430e+00  2.6199315e+00],[0.06713645 0.0103116  0.92255193]
7,neutral,negative,MISS,"Løbehjulene har en holdbarhed på en lille måned i gennemsnit. Så smides de til skrot. Der er er ca 400 løbehjul i København. Det giver mindst (400x12) 4800 elløbehjul til skrot om året. 
I den tid, de kører, samles de op og leveres af biler.
Det er ikke grønt i min optik. #dkpol",[-0.62146145  3.2853084  -3.5991738 ],[0.01968933 0.9793083  0.00100237]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 3.2406702  -0.20341006 -3.2207932 ],[0.967589   0.0308991  0.00151186]
9,positive,positive,TRUE,"Jeg har tømmermænd på #delmøde19, men måtte alligevel på talerstolen for at opfordre salen til at tage fælles ansvar for at bekæmpe seksuelt upassende adfærd. har enstemmigt vedtaget at tilføje et afsnit om det til handlingsprogrammet - Jeg er rørt og glad 💪🏼",[-3.3419502 -2.0786562  5.463471 ],[1.4981627e-04 5.2990805e-04 9.9932027e-01]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-2.0083365  4.1188755 -3.3537185],[2.1766694e-03 9.9725646e-01 5.6689215e-04]
11,neutral,negative,MISS,"Når man lige tænker over det...
Er det egentlig ikke pudsigt at der aldrig er blevet fulgt op på denne, med en ny måling.

:-))",[-0.7895822  1.3905553 -1.4602056],[0.09653524 0.85409766 0.04936712]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 3.1847107  0.6683271 -3.749013 ],[9.2444897e-01 7.4650280e-02 9.0075179e-04]
13,neutral,neutral,TRUE,Anmeldelse: Apokalypsens ryttere rider for tredje gang.,[-3.4883304  4.8937078 -2.1365197],[2.2868815e-04 9.9888748e-01 8.8374602e-04]
14,positive,positive,TRUE,Vi er gået ind i en nyt kapitel for bannerreklamer. Det spil gad jeg godt spille! Jeg ville nok starte med at gøre noget ved Toftegårds Plads.,[-2.9719818  0.8813093  1.7288189],[0.00632178 0.29805928 0.6956189 ]
15,positive,positive,TRUE,"RT @USER: Det gør vi nemlig 💚Kom og del din mening med os🤓
#dkpol #flerevedmere",[-3.8667114 -1.3966238  5.114027 ],[1.2560724e-04 1.4851155e-03 9.9838924e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 5.675498  -1.4920899 -4.4022255],[9.9918753e-01 7.7055424e-04 4.1970805e-05]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.1898818  -0.23390535  2.5205662 ],[0.00839118 0.05933253 0.9322763 ]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.431159   3.9998965 -2.378118 ],[0.00160544 0.99670166 0.00169289]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.1978934 -1.9179257  5.6104136],[1.4938352e-04 5.3726113e-04 9.9931335e-01]
20,negative,negative,TRUE,Enig. Men hvor mange børn skal det også gå ud over? Hvor galt skal det gå før børnene bliver taget alvorligt? #hvorerderenvoksen #dkpol,[ 2.7934334  0.4618672 -2.972111 ],[0.908862   0.08829001 0.00284809]
21,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 5.091493  -0.8906889 -4.4300184],[9.9741012e-01 2.5167794e-03 7.3069146e-05]
22,neutral,negative,MISS,Han er ikke frikendt. Det havde krævet en retssag.,[-0.45286056  3.1351347  -3.0960016 ],[0.02685815 0.9712313  0.00191062]
23,neutral,negative,MISS,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[-0.5723137  1.8325412 -1.4688427],[0.08009735 0.8872242  0.03267838]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-0.6215384  2.8815756 -3.0903711],[0.02915162 0.96837974 0.00246867]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 3.474564   1.3048823 -5.22795  ],[8.9735985e-01 1.0249102e-01 1.4911199e-04]
26,neutral,positive,MISS,"Arealer, der selv springer i skov er ikke i konflikt med gode klimaløsninger, OG de giver sandsynligvis en højere grad af biodiversitet #dkpol #dknatur",[ 0.43412066  1.5570648  -2.335697  ],[0.24174652 0.7431024  0.01515108]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 3.3255754  1.1099187 -4.5194006],[9.0132833e-01 9.8318562e-02 3.5306386e-04]
28,neutral,positive,MISS,"Hvis det betyder lovgivning ud fra fakta i stedet for følelser og fornemmelser, så har du min stemme, @USER.",[ 0.9555332  1.5591224 -2.5604951],[0.34984756 0.6397559  0.0103965 ]
29,positive,negative,MISS,Tillykke med sejren. Brøndby er tilbage til start ;-),[-3.6622524 -1.2815567  5.521323 ],[1.0258815e-04 1.1092264e-03 9.9878818e-01]
30,negative,negative,TRUE,"Når man skal udregne så tager man skatteindtægterne fra alt og alle der arbejder indenfor tobak, det eneste du fatter og glor på er moms og skat plus afgifter ALENE på tobak, men glemmer at de som arbejder med tobak også betaler, så forsæt bare dine løgne",[ 5.009582  -0.4665384 -4.638047 ],[9.9576783e-01 4.1678222e-03 6.4305212e-05]
31,neutral,neutral,TRUE,Og læste du ikke Niggli et al?,[-0.35534728  1.9975098  -2.7361872 ],[0.08614716 0.90588653 0.00796628]
