,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Det har jeg ingen interesse i at vide, men det er vigtigt at den slags prædikater også giver et reelt billede af hensigterne, som i første tilfælde er at forhindre radikaisering, og i andet er at skabe rammer for tryg interaktion og identifikation.",[-2.2254555   0.92407703  1.0156518 ],[0.02004523 0.46755826 0.5123965 ]
1,negative,negative,TRUE,"I dag glemte jeg mit dankort i en butik. En medarbejder løb efter mig og gav det til mig. Med den slags held i sprøjten, så ved man bare, at resten af ugen bliver uheld på uheld på uheld. Godt det snart er mandag igen.",[ 1.6081285  -1.6100496  -0.09753763],[0.81854546 0.03276467 0.14868988]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-0.36548138  1.4325011  -1.1966962 ],[0.13381553 0.80790514 0.05827933]
3,neutral,neutral,TRUE,"Her er øjeblikket, der stjal opmærksomheden til Oscar-showet,",[-0.90365934  1.4640987  -0.69634503],[0.07749652 0.82715416 0.09534933]
4,negative,neutral,MISS,Intet nyt i finanskriser... @ Børsen,[ 3.3804796 -1.4826804 -2.1506128],[0.98844725 0.00763677 0.00391589]
5,neutral,neutral,TRUE,Skjern-træner: Vi tabte i sidste ende til et klart bedre hold -,[-2.369033   1.4003931  0.7056703],[0.01515183 0.6569102  0.327938  ]
6,positive,positive,TRUE,Stor ros til for ikke at støtte jeres dehumanisering af DK. #dkpol,[-1.7686198 -1.7737173  3.3229084],[0.00607411 0.00604323 0.98788273]
7,neutral,negative,MISS,"Løbehjulene har en holdbarhed på en lille måned i gennemsnit. Så smides de til skrot. Der er er ca 400 løbehjul i København. Det giver mindst (400x12) 4800 elløbehjul til skrot om året. 
I den tid, de kører, samles de op og leveres af biler.
Det er ikke grønt i min optik. #dkpol",[-0.3724027  1.7729503 -1.580138 ],[0.10158544 0.86805344 0.03036118]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-1.931507   2.49944   -0.7810814],[0.01134167 0.952824   0.03583442]
9,positive,positive,TRUE,"Jeg har tømmermænd på #delmøde19, men måtte alligevel på talerstolen for at opfordre salen til at tage fælles ansvar for at bekæmpe seksuelt upassende adfærd. har enstemmigt vedtaget at tilføje et afsnit om det til handlingsprogrammet - Jeg er rørt og glad 💪🏼",[-2.3214529 -1.4109365  3.4743617],[0.00300837 0.00747763 0.989514  ]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-2.547512    2.259718   -0.07574549],[0.00739451 0.9050297  0.08757576]
11,negative,negative,TRUE,"Når man lige tænker over det...
Er det egentlig ikke pudsigt at der aldrig er blevet fulgt op på denne, med en ny måling.

:-))",[ 3.119469  -1.9071087 -1.4123063],[0.9829722  0.0064495  0.01057831]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 2.3110192  -0.25587064 -2.1911962 ],[0.91923726 0.07057348 0.01018921]
13,neutral,neutral,TRUE,Anmeldelse: Apokalypsens ryttere rider for tredje gang.,[-0.45880443  1.9067134  -1.6269307 ],[0.08360853 0.8903935  0.02599799]
14,positive,positive,TRUE,Vi er gået ind i en nyt kapitel for bannerreklamer. Det spil gad jeg godt spille! Jeg ville nok starte med at gøre noget ved Toftegårds Plads.,[-2.29199   -1.4788759  3.4881246],[0.00305763 0.0068947  0.9900477 ]
