topic,name,mean,ll,ul
1,BERT,-0.0026,-0.0274,0.022
1,DeBERTa,0.012,-0.0356,0.0575
1,ELECTRA,0.0422,0.0088,0.075
1,RoBERTa,0.0372,0.0132,0.0617
1,BERT-DeBERTa,-0.0146,-0.0654,0.0383
1,BERT-ELECTRA,-0.0448,-0.0846,-0.0042
1,BERT-RoBERTa,-0.0397,-0.0761,-0.0027
1,DeBERTa-ELECTRA,-0.0301,-0.0882,0.0255
1,DeBERTa-RoBERTa,-0.0251,-0.0778,0.0267
1,RoBERTa-ELECTRA,-0.005,-0.0466,0.0363
1,sigma,0.0178,0.0156,0.0204
2,BERT,-0.0256,-0.0552,0.0058
2,DeBERTa,-0.0417,-0.10780000000000001,0.0205
2,ELECTRA,-0.038,-0.0853,0.006
2,RoBERTa,-0.0383,-0.0687,-0.0048
2,BERT-DeBERTa,0.016,-0.0512,0.09
2,BERT-ELECTRA,0.0124,-0.0441,0.0702
2,BERT-RoBERTa,0.0126,-0.0323,0.0566
2,DeBERTa-ELECTRA,-0.0036,-0.0835,0.0735
2,DeBERTa-RoBERTa,-0.0034,-0.0763,0.0657
2,RoBERTa-ELECTRA,-3e-4,-0.0533,0.0564
2,sigma,0.0154,0.0134,0.0178
3,BERT,0.0817,0.0524,0.1135
3,DeBERTa,0.064,0.0043,0.1215
3,ELECTRA,0.1145,0.0737,0.1551
3,RoBERTa,0.0638,0.0348,0.0927
3,BERT-DeBERTa,0.0177,-0.0494,0.086
3,BERT-ELECTRA,-0.0327,-0.0835,0.021
3,BERT-RoBERTa,0.018,-0.0231,0.0602
3,DeBERTa-ELECTRA,-0.0505,-0.1239,0.0229
3,DeBERTa-RoBERTa,2e-4,-0.0654,0.0659
3,RoBERTa-ELECTRA,-0.0507,-0.0997,-6e-4
3,sigma,0.0319,0.0278,0.0369
4,BERT,-0.0935,-0.1301,-0.0582
4,DeBERTa,-0.0876,-0.1564,-0.0118
4,ELECTRA,-0.0977,-0.15,-0.0479
4,RoBERTa,-0.0893,-0.1269,-0.0517
4,BERT-DeBERTa,-0.0059,-0.0875,0.0685
4,BERT-ELECTRA,0.0041,-0.0589,0.0694
4,BERT-RoBERTa,-0.0042,-0.056,0.0484
4,DeBERTa-ELECTRA,0.0101,-0.0789,0.1002
4,DeBERTa-RoBERTa,0.0017,-0.0757,0.0859
4,RoBERTa-ELECTRA,0.0083,-0.0546,0.0711
4,sigma,0.0388,0.0337,0.0449
5,BERT,0.0065,-0.0507,0.0648
5,DeBERTa,0.0298,-0.0878,0.1458
5,ELECTRA,-0.0191,-0.1027,0.0649
5,RoBERTa,0.0072,-0.0518,0.0662
5,BERT-DeBERTa,-0.0232,-0.1576,0.1081
5,BERT-ELECTRA,0.0256,-0.0763,0.1248
5,BERT-RoBERTa,-7e-4,-0.0862,0.0797
5,DeBERTa-ELECTRA,0.0488,-0.0946,0.1916
5,DeBERTa-RoBERTa,0.0225,-0.11,0.1501
5,RoBERTa-ELECTRA,0.0263,-0.0744,0.128
5,sigma,0.035,0.0307,0.0403
6,BERT,0.089,0.0244,0.1493
6,DeBERTa,0.0213,-0.0975,0.1439
6,ELECTRA,-0.0339,-0.1201,0.0553
6,RoBERTa,0.0345,-0.0247,0.0937
6,BERT-DeBERTa,0.0677,-0.0731,0.2038
6,BERT-ELECTRA,0.1229,0.0102,0.2261
6,BERT-RoBERTa,0.0544,-0.0371,0.1409
6,DeBERTa-ELECTRA,0.0552,-0.0907,0.1967
6,DeBERTa-RoBERTa,-0.0133,-0.1553,0.1206
6,RoBERTa-ELECTRA,0.0685,-0.0364,0.1703
6,sigma,0.0501,0.0438,0.0579
7,BERT,0.0152,-0.0502,0.0825
7,DeBERTa,0.0731,-0.0511,0.1898
7,ELECTRA,0.0288,-0.0603,0.1169
7,RoBERTa,0.0054,-0.0587,0.0693
7,BERT-DeBERTa,-0.0579,-0.1934,0.0909
7,BERT-ELECTRA,-0.0136,-0.1199,0.0978
7,BERT-RoBERTa,0.0098,-0.084,0.1002
7,DeBERTa-ELECTRA,0.0443,-0.112,0.1979
7,DeBERTa-RoBERTa,0.0677,-0.0778,0.201
7,RoBERTa-ELECTRA,-0.0234,-0.133,0.0884
7,sigma,0.044,0.0383,0.0506
8,BERT,0.0116,-0.0739,0.096
8,DeBERTa,0.0633,-0.0952,0.2135
8,ELECTRA,0.0529,-0.062,0.1664
8,RoBERTa,-0.0063,-0.0937,0.0763
8,BERT-DeBERTa,-0.0517,-0.2246,0.1327
8,BERT-ELECTRA,-0.0413,-0.1848,0.1044
8,BERT-RoBERTa,0.0179,-0.101,0.1349
8,DeBERTa-ELECTRA,0.0104,-0.1872,0.2079
8,DeBERTa-RoBERTa,0.0697,-0.1071,0.2461
8,RoBERTa-ELECTRA,-0.0592,-0.2026,0.0834
8,sigma,0.0469,0.041,0.0541
9,BERT,-0.0027,-0.0619,0.0599
9,DeBERTa,0.0471,-0.0667,0.1569
9,ELECTRA,-0.0799,-0.161,0.0016
9,RoBERTa,0.0405,-0.0191,0.0984
9,BERT-DeBERTa,-0.0498,-0.1776,0.0799
9,BERT-ELECTRA,0.0772,-0.0273,0.1771
9,BERT-RoBERTa,-0.0432,-0.1268,0.0438
9,DeBERTa-ELECTRA,0.127,-0.0115,0.2663
9,DeBERTa-RoBERTa,0.0067,-0.1181,0.1453
9,RoBERTa-ELECTRA,0.1204,0.0168,0.2163
9,sigma,0.0346,0.0302,0.0399
10,BERT,-0.0944,-0.1848,-0.0048
10,DeBERTa,-0.0776,-0.2323,0.0818
10,ELECTRA,-0.0295,-0.146,0.0874
10,RoBERTa,-0.1249,-0.2089,-0.0374
10,BERT-DeBERTa,-0.0169,-0.1978,0.161
10,BERT-ELECTRA,-0.0649,-0.2107,0.0946
10,BERT-RoBERTa,0.0304,-0.0942,0.1523
10,DeBERTa-ELECTRA,-0.0481,-0.244,0.1487
10,DeBERTa-RoBERTa,0.0473,-0.1303,0.2226
10,RoBERTa-ELECTRA,-0.0954,-0.2363,0.0479
10,sigma,0.0457,0.0399,0.0523
11,BERT,0.0975,0.0373,0.1556
11,DeBERTa,0.0923,-0.022,0.2098
11,ELECTRA,0.0725,-0.0126,0.1522
11,RoBERTa,0.1134,0.0543,0.1695
11,BERT-DeBERTa,0.0051,-0.1265,0.1346
11,BERT-ELECTRA,0.025,-0.0699,0.1241
11,BERT-RoBERTa,-0.0159,-0.0946,0.0655
11,DeBERTa-ELECTRA,0.0199,-0.1168,0.1562
11,DeBERTa-RoBERTa,-0.021,-0.1429,0.1075
11,RoBERTa-ELECTRA,0.0409,-0.0581,0.1424
11,sigma,0.0429,0.0373,0.0497
12,BERT,-0.0053,-0.0694,0.0614
12,DeBERTa,-0.1175,-0.2337,0.0031
12,ELECTRA,-0.0667,-0.1592,0.0251
12,RoBERTa,-0.0629,-0.1247,4e-4
12,BERT-DeBERTa,0.1122,-0.0225,0.2401
12,BERT-ELECTRA,0.0614,-0.05,0.1717
12,BERT-RoBERTa,0.0576,-0.0308,0.1492
12,DeBERTa-ELECTRA,-0.0508,-0.2009,0.1082
12,DeBERTa-RoBERTa,-0.0546,-0.1923,0.0908
12,RoBERTa-ELECTRA,0.0038,-0.105,0.117
12,sigma,0.0421,0.0366,0.0484
