topic,name,mean,ll,ul
1,Base,0.0196,-0.1139,0.0907
1,Large,0.0021,-0.0721,0.0795
1,Large-Base,-0.0175,-0.0972,0.1326
1,Sigma,0.0146,0.0116,0.0186
2,Base,-0.0497,-0.1253,0.0402
2,Large,-0.0238,-0.0932,0.0649
2,Large-Base,0.0258,-0.0623,0.1268
2,Sigma,0.0135,0.0108,0.0171
3,Base,0.0895,-0.0153,0.1736
3,Large,0.0523,-0.0351,0.1374
3,Large-Base,-0.0373,-0.1139,0.0456
3,Sigma,0.0245,0.0194,0.0313
4,Base,-0.0883,-0.1511,-0.0261
4,Large,-0.0742,-0.1419,-0.0074
4,Large-Base,0.0141,-0.0419,0.0662
4,Sigma,0.0437,0.0351,0.0552
5,Base,-0.0051,-0.0921,0.0668
5,Large,-8e-4,-0.0719,0.0705
5,Large-Base,0.0043,-0.0536,0.0727
5,Sigma,0.0247,0.0195,0.0316
6,Base,0.0645,-0.0368,0.1618
6,Large,0.0653,-0.0301,0.1583
6,Large-Base,8e-4,-0.0781,0.0764
6,Sigma,0.0437,0.0346,0.0557
7,Base,0.0147,-0.0923,0.1258
7,Large,0.0462,-0.0661,0.1549
7,Large-Base,0.0315,-0.099,0.1509
7,Sigma,0.0433,0.0345,0.0553
8,Base,-0.0322,-0.0995,0.0395
8,Large,-0.0131,-0.0807,0.0558
8,Large-Base,0.0191,-0.0589,0.0912
8,Sigma,0.0418,0.0333,0.0533
9,Base,0.0549,0.0104,0.0943
9,Large,0.0195,-0.0227,0.0644
9,Large-Base,-0.0354,-0.0725,0.004
9,Sigma,0.0246,0.0195,0.0313
10,Base,-0.1002,-0.1889,-0.0047
10,Large,-0.1306,-0.2148,-0.0329
10,Large-Base,-0.0304,-0.103,0.0397
10,Sigma,0.0304,0.0243,0.0389
11,Base,0.1277,0.0268,0.2251
11,Large,0.0859,-0.0133,0.1841
11,Large-Base,-0.0418,-0.1533,0.0806
11,Sigma,0.0308,0.0246,0.0391
12,Base,-0.0406,-0.1585,0.0902
12,Large,0.0336,-0.0901,0.171
12,Large-Base,0.0742,-0.074,0.2014
12,Sigma,0.0395,0.0314,0.0503
