topic,b_architecture_stylebert,b_architecture_styledeberta,b_architecture_styleelectra,b_architecture_styleroberta,sigma
1,1.0019,1.0015,1.0023,1.0009,1.0018
2,1.0009,1.0055,1.0005,1.0036,1.0016
3,1.0002,1.0045,1.0013,1.0028,1.0026
4,1.0008,1.0021,1.0019,1.0021,1.0006
5,1.0028,1.0056,1.0055,1.0018,1.003
6,1.0018,1.0048,1.0031,1.0001,0.9997
7,1.0034,1.0023,1.0006,1.0017,1.0004
8,1.0017,1.0034,1.0004,1.003,1.0005
9,1.0024,1.0012,1.0024,1.0003,1
10,1.0007,1.0009,1.0009,1.0021,1.0005
11,1.0037,1.0019,1.0011,1.0016,1
12,1.0017,1.0021,1.0028,1.0005,1.0001
