topic,b_Intercept,b_languagemulti,sd_language_model__Intercept,sigma,"r_language_model[1,Intercept]","r_language_model[2,Intercept]","r_language_model[3,Intercept]","r_language_model[4,Intercept]","r_language_model[5,Intercept]","r_language_model[6,Intercept]","r_language_model[7,Intercept]","r_language_model[8,Intercept]","r_language_model[9,Intercept]","r_language_model[10,Intercept]","r_language_model[11,Intercept]",lprior,lp__
1,1.0054,1.0046,1.0023,1.0016,1.0037,1.0034,1.0059,1.0039,1.0044,1.0026,1.0039,1.0052,1.002,1.0033,1.0036,1.0024,1
2,1.0002,1.0022,1.0015,1.0001,1.0008,1.0009,1.0002,1.0015,1.0035,1.0014,1.0003,1.0001,1.0037,1.0011,1.0023,1.0025,1.0006
3,1.0016,1.0024,1.0027,1.0002,1.0029,1.0034,1.0004,1.0041,1.0013,1.0031,1.0008,1.0007,1.0032,1.0008,1.0016,1.0015,1.0018
4,1.0008,1.0005,1.0017,1.0009,1.0013,1.0004,1.0008,1.0007,1.0008,0.9998,1.0013,1.0007,1.0003,1.0014,1.0013,1.0013,1.003
5,1.0023,1.0025,1.0019,1.002,1.0011,1.0012,1.0022,1.0024,1.0018,1.0022,1.0022,1.0019,1.002,1.0015,1.0021,1.0021,1.0054
6,1.0031,1.0016,1.0021,1.0006,1.0009,1.0028,1.0023,1.0019,1.0022,1.0014,1.0023,1.0015,1.0014,1.002,1.0016,1.0018,1.0045
7,1.0023,1.004,1.0043,1.0016,1.0034,1.0045,1.0016,1.0031,1.004,1.0026,1.0012,1.0016,1.0033,1.0027,1.0019,1.0024,1.0057
8,1.0014,1.0009,1.0058,1.0006,1.0005,1.001,1.0013,1.0018,1.0026,1.0009,1.0008,1.0001,1.0027,1.002,1.003,1.005,1.005
9,1.0008,1.0009,1.0046,1.0022,1.0019,1.0033,1.0008,1.0026,1.003,1.0023,1.0008,1.0008,1.002,1.0017,1.0033,1.0039,1.004
10,1.0057,1.0081,1.0017,1.0008,1.0042,1.0048,1.0056,1.0033,1.0047,1.004,1.0056,1.006,1.0036,1.0041,1.0044,1.0016,1.0027
11,1,1.0003,1.0006,1.001,1.0018,1.0008,1.0005,1.0001,1.0018,1.0008,1.0012,0.9998,1.0005,1.0015,1.0008,1.0003,1.0011
12,1.0028,1.0018,1.0029,1.0016,1.0025,1.0027,1.0035,1.0029,1.0026,1.0026,1.0035,1.0024,1.0033,1.0025,1.0029,1.0031,1.0033
