,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,negative,TRUE,".@USER ligner et parti der leger kejserens nye klæder … når det kommer til stykket er de nøgne, intet indhold #dkpol",[ 4.6096654 -2.1194625 -3.115945 ],[9.9836570e-01 1.1936213e-03 4.4065586e-04]
1,positive,positive,TRUE,"Flabet tæmning bag støttebenet af Andreas Skov Olsen, inden han så sparker bolden i kassen til 0-2.
#FCNdk #sldk #vbfcn fcn",[ 1.2552004 -4.718857   3.4844491],[9.7130507e-02 2.4709018e-04 9.0262240e-01]
2,negative,negative,TRUE,"[LINK]

“Tyske Politikere advarer DK, -det her burde i den grad få politikerne til at tage sagen alvorlig” 
Mette Brock #dkpol burde gå godkendelserne fra 2002 igennem: islam trossamfund blev godkendt på forkert grundlag. og Stoppe Islam bøn foran FT.",[ 5.64393   -2.434536  -3.8659794],[9.9961579e-01 3.1002716e-04 7.4085270e-05]
3,neutral,negative,MISS,Så er der jo fremtids sikret. Når man ser hvad der sker på vestkysten nemlig ikke en skid så kan jeg godt se hvorfor det bliver gjort. For der må da ikke kystsikres før det er for sent. Så jeg smiler bare.,[-1.9056205   1.1893907   0.55718106],[0.02871489 0.63423973 0.33704537]
4,neutral,negative,MISS,"Og måske skal DA afholde sig fra “hurtige regnestykker”. Men i stedet tage højde for, at alle, der nærmer sig pensionsalderen ikke er i beskæftigelse og at alle ikke arbejder fuldtid. Så går regnestykker ikke lige så hurtigt. Til gengæld er de ikke forkerte. #arbejde #dkpol",[-0.51726747  3.8701131  -3.6602783 ],[1.2274062e-02 9.8719621e-01 5.2965840e-04]
5,positive,positive,TRUE,Kæmpe tillykke til jer i Herning med udsigten til den vildeste finale 💪🏼🇩🇰,[-3.732956  -2.7623894  6.758905 ],[2.7758666e-05 7.3267336e-05 9.9989891e-01]
6,positive,positive,TRUE,"Kolo, høj sol, radio og kaffe. Det er KLART den bedste modgift mod en påske med mange gæster. Haps.",[-3.0964792 -3.3763998  6.735456 ],[5.3703672e-05 4.0591585e-05 9.9990571e-01]
7,neutral,neutral,TRUE,Vores årsrapport hvor socialt udsatte mennesker fortæller i prosa og tal om den betydning vores stævner og kurser betyder for dem er ude - hvis du vil være klogere på udsatte idræt så læs med 👇🏼 #dkpol #dkidræt #dksocial,[-1.172601   3.4113998 -2.564316 ],[0.01008533 0.987407   0.0025077 ]
8,positive,positive,TRUE,"Og nu som fast del af programmet, er der altid go lyd🎶🎶. styrer🙌🏻🙌🏻",[-3.6792204 -2.8631322  6.8072877],[2.7907938e-05 6.3117608e-05 9.9990892e-01]
9,neutral,neutral,TRUE,Der er så mange flere grunde til at #ståafiroskilde frem for Høje-Tå #sigerdetbare,[-1.8737143  3.1703868 -1.5121262],[0.00634758 0.9845398  0.00911263]
10,neutral,neutral,TRUE,"RUNDSPØRGE: Knap ½ af @USER's medlemmer mener ikke, de kan arbejde, til de når folkepensionsalderen. 3 år tidligere pension i S-udspil er ikke nok for mange af dem, mener arbejdsmiljøforsker. #arbejde #dkpol #pensionsalder
[LINK]",[-2.1768987  4.9459414 -2.9665005],[8.0552860e-04 9.9882871e-01 3.6573035e-04]
11,positive,positive,TRUE,"Jeg er faktisk også meget overrasket over United. Pisse ærgerligt de får det mål, men det virkede næsten som om, at det var det der skulle få United i gang 🤔 1-1 ville ikke være en katastrofe! KOM SÅ UNITED!!",[-0.00467931 -4.327912    4.4113746 ],[1.1935700e-02 1.5823108e-04 9.8790610e-01]
12,neutral,neutral,TRUE,"Nyt vækstforløb kickstarter innovation i Det Blå Danmark. Fem danske startups er udvalgt til at samarbejde med landets største selskaber i den maritime branche.
[LINK] #dkstartup #dkbiz #cphftw",[-5.1784453  3.7215977  1.3456874],[1.2477103e-04 9.1485769e-01 8.5017599e-02]
13,neutral,neutral,TRUE,"Jeg tror, jeg trækker mig og lytter.",[-4.3101125  5.248866  -0.8950782],[7.0408707e-05 9.9778783e-01 2.1416924e-03]
14,positive,positive,TRUE,"Det her skal vi (læs #dkmedier) lige huske at have med i puljen, når vi jubler over et fortsat Radio24syv. Tak, 👏",[-3.6318288 -2.828815   6.7281156],[3.1672975e-05 7.0702270e-05 9.9989760e-01]
15,positive,positive,TRUE,".@USER og Scandinavian Avionics vinder Danmarks første F-35-vedligeholdelseskontrakt #dkforsvar 
[LINK]",[-5.032712    0.20263585  4.924745  ],[4.6953133e-05 8.8175312e-03 9.9113548e-01]
