,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,negative,TRUE,Her til aften nævner #DdR stadig ikke venstrefløjens voldsbøller og Allahs sønner med et eneste ord @USER @USER #dkpol #dkmedier #rasmuspaludan @USER @USER @USER @USER [LINK],[ 2.4490154   0.72358906 -2.4417276 ],[0.8434456  0.15021522 0.0063392 ]
1,neutral,negative,MISS,"@USER @USER @USER Det gøre det jo lige akkurat. Brøndby er vel den klub i kongeriget, der er mest interesse for. Mediedækningen ville på ingen måde være så massiv, hvis det alene drejede sig om Anderlecht/Brügge. Så spændende er Belgisk fodbold bare ikke.",[-0.9316742  1.5953639 -0.4730248],[0.06623256 0.82899183 0.10477567]
2,neutral,negative,MISS,@USER @USER Ny betalingsring om Kbh ;-),[-3.6567075  2.410311   1.1656638],[0.00179645 0.7749772  0.2232264 ]
3,neutral,negative,MISS,"@USER Martin Henriksen igen, igen, igen - tillader mig at holde gryden med hans udtalelser i kog...
Burde simre dagligt 😡
#dkpol #dkmedier [LINK]",[-2.4857373  1.3750921  1.2258052],[0.01118298 0.5312445  0.45757252]
4,negative,negative,TRUE,"@USER Nej, det var det ikke. Der er også derfor, at jeg har trukket det tilbage. 
Men hvad med dig selv? Jeg bemærker, at du bruger grønlandsk flag-emoji. Er du overhovedet klar over, hvad det stolte fangerfolk har været igennem? Og er du måske fra Grønland?",[ 4.284289  -1.6883477 -2.005651 ],[0.9956169  0.00253635 0.00184674]
5,negative,negative,TRUE,"@USER @USER @USER @USER Nej. 

Nørrebro gav Paludan de sidste vælgererklæringer efter de smadrede byen igen igen igen #dkpol #dkmedier",[ 2.2227502   0.13035595 -1.756037  ],[0.87558025 0.10803902 0.01638063]
6,positive,positive,TRUE,"Miljøzoner og “betal-for-det-du-forurener-løsninger” i Kbh? Ja, synes vi. I London er i de i fuld gang. Se hvorfor her fra @USER [LINK] #dkgreen #dktrp #slutmedrøgstøjogmøg",[-3.9030972  1.2465028  2.4199963],[0.00136863 0.23590079 0.76273054]
7,neutral,positive,MISS,"Så er det nu, forslaget er godkendt @USER @USER

Støt borgerforslag om at redde @USER 
 
Skriv under på borgerforslag, del og like @USER @USER @USER
 
#DKPOL #DKMedier @USER @USER @USER @USER  [LINK]",[-2.5521932   2.7010138   0.06277007],[0.00485802 0.92874885 0.0663932 ]
8,neutral,neutral,TRUE,Bavarian indleder fase 1/2a-forsøg med HPV-vaccine [LINK],[-1.8225799  3.247648  -1.0084686],[0.00615507 0.9799519  0.01389302]
9,negative,negative,TRUE,"@USER Der har virkelig været nogle kamp før i tiden, hvor jeg ikke har været glad for ham. Det er som om at han først op til denne her sæson har lært at aflevere og forsvare kontinuerligt. Kæmpe tab for AaB i den situation vi er i nu, men håber det giver plads til en af de unge.",[ 3.8853369 -2.2700315 -1.0691395],[0.9909095  0.00210277 0.00698767]
10,positive,positive,TRUE,RT @USER: Jeg siger ikke at socialisme er fremtiden... Men det er det! :-) #SF60 #SF60År #Sammen #Dkpol [LINK],[-3.8989625   0.21029648  3.0413413 ],[9.1325399e-04 5.5618603e-02 9.4346809e-01]
11,negative,negative,TRUE,"Tak til DF, for at indvie mig i den ædle kunst, at få penge til noget der ikke er behov for. 

Jeg: Kone, jeg vil have ny bil. Den koster kr. 377.000,-. 

Kone: Det får du ikke. 

Jeg: Nå, men så nøjes jeg med nye fælge til kr. 80.000,-",[ 1.3346047  -0.5776714  -0.54089963],[0.7686269  0.1135598  0.11781333]
12,neutral,neutral,TRUE,Kan man selv male et badekar og hvilke maling kan man bruge? Et par gode råd anyone?,[-1.3837917   1.9310471  -0.22734514],[0.03154914 0.8681682  0.10028271]
