,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,negative,TRUE,"Hun kritiserer hvad han siger, ikke at han siger noget. Det er så nemt at læse og fårstå at det må være bevidst det bliver misforstået. Ligesom at bevidst lod som om han ikke forstod hvad mente.",[ 6.6578946 -2.9206643 -3.09901  ],[9.998729e-01 6.918781e-05 5.788619e-05]
1,positive,positive,TRUE,".@USER
.@USER
.@USER
.@USER
Anders Thomsen gav det polske publikum fuld valuta for pengene i årets SEC-kvalrunde 2 i Poznan. Een efter een fightede han sig helt op til det afgørende race-off og vandt det. Er videre til SEC-CH
copyright: sportxpress",[-4.145463  -1.7480311  5.021075 ],[1.0434679e-04 1.1472835e-03 9.9874830e-01]
2,positive,positive,TRUE,"Tillykke med dokumentaren. Solidt arbejde, I har lavet der.",[-2.4452393 -3.2760544  4.8949504],[6.4832327e-04 2.8247052e-04 9.9906927e-01]
3,neutral,neutral,TRUE,Danbolig dropper samarbejde med 15 butikker efter afsløring af kritisable metoder,[-2.3975918  6.285018  -3.1786978],[1.6946626e-04 9.9975294e-01 7.7598481e-05]
4,neutral,neutral,TRUE,"Frankrig løfter pegefinger mod briter inden topmøde: De skal opføre sig pænt, hvis vi forlænger #eudk #brexit",[-3.093668   6.4555106 -2.7832184],[7.1247734e-05 9.9983156e-01 9.7184638e-05]
5,negative,neutral,MISS,"Etisk dilemma: Er det ikke også Vesten som har påduttet Afrika vores religion(er) og ‘prævention er synd/skidt’? 
Jeg mener virkelig at de selv skal bestemme, men så skal Vestens (især USAs) bistand ikke længere kunne kobles sammen med præventionsmodstand.",[ 6.701139  -3.1565042 -2.9730995],[9.9988484e-01 5.2339550e-05 6.2875537e-05]
6,negative,negative,TRUE,Jens Jørgen Thorsen var også en provokatør - men lur mig om han ikke kunne gå til gudstjeneste juleaften uden at skulle frygte for sit liv. Det er en god ting.,[ 3.5196922  -3.6068683   0.07814944],[9.6822417e-01 7.7794719e-04 3.0997945e-02]
7,neutral,neutral,TRUE,Beskæftigelsesministeriet: Beskæftigelsesminister Troels Lund Poulsens kommentar til ledig,[-3.2249932  6.5769463 -2.7290416],[5.5336095e-05 9.9985385e-01 9.0865113e-05]
8,negative,negative,TRUE,Jeg savner ord. Hver stemme på Paludan og hans såkaldte parti er en for meget,[ 6.683152  -3.2717502 -2.8969512],[9.998834e-01 4.748868e-05 6.908178e-05]
9,negative,negative,TRUE,Dansk Folkeparti er klar til at give togbroen dødsstødet #vaf,[ 6.7104316 -3.2123094 -3.008487 ],[9.9989092e-01 4.9041191e-05 6.0128423e-05]
10,neutral,neutral,TRUE,"Altså, det der med at jeg stadig har alle mine cd’er? Og at mine playlists på Spotify er mine gamle mixtapes? Og at jeg mest hører mine cd-titler når jeg hører Spotify? Og at jeg sætter høj og kendt musik på, når der er høje/ubehagelige lyde? Ikke for at genere naboerne⏩",[ 1.7391261  3.1646833 -3.9237432],[1.9366154e-01 8.0566597e-01 6.7249720e-04]
11,neutral,negative,MISS,"Der er helligdag, Det gør hun selvfølgelig i morgen. Men som sagt, det er ikke første gang.",[-3.4681678  5.464436  -1.6134048],[1.3188517e-04 9.9902534e-01 8.4277050e-04]
12,negative,positive,MISS,Os der vil bevare Danmark Dansk og bevare vores kultur stemmer da på NB eller som nødløsning på DF. Personligt betragter jeg NB som vores bedste løsning fordi de er EU modstandere.!,[ 4.301503  -1.060017  -2.6962247],[9.9442357e-01 4.6675904e-03 9.0885960e-04]
13,negative,negative,TRUE,Magtmisbrug...! udøver i den grad magtmisbrug #politikerlede #øj #smiddemud #nyregeringnu #metaltræt,[ 6.7273407 -3.213986  -2.9993048],[9.9989212e-01 4.8138223e-05 5.9665694e-05]
14,neutral,neutral,TRUE,🇬🇧 Startopstillinger ‼️ #pldk,[-3.6521573  6.2430453 -2.151792 ],[5.0402032e-05 9.9972361e-01 2.2596876e-04]
15,neutral,positive,MISS,"NATUREN ER TØR 🚒👨‍🚒
- og derfor er det vigtigt at tænke sig godt om, når vi hygger os udenfor i det gode påskevejr🐣 En af vores vagthavende indsatsledere🚒👨‍🚒 giver gode råd i indslaget fra TV2 Nord 
#NaturenErTør #ViPasserPåJer #NordjyllandsBeredskab",[-4.48868     3.2611504   0.97079486],[3.9105996e-04 9.0771997e-01 9.1888927e-02]
16,negative,negative,TRUE,"Really? - det bliver sgu sværere og sværere at overbevise min bedre halvdel om at at Danmark overhovedet ønsker at man skal integrere sig. Jeg fattes ord. Gad vide om vil støtte det?

#dkpol #pakker #snart #sydfrugter",[ 5.435388 -2.265111 -2.58141 ],[9.9921811e-01 4.5224739e-04 3.2961668e-04]
17,neutral,neutral,TRUE,Venezuelas præsidentudfordrer får udrejseforbud,[-2.6824393  6.238812  -2.9708867],[1.3348990e-04 9.9976653e-01 1.0004082e-04]
18,negative,positive,MISS,Han sagde skam The grundspil. Det var forrygende. Maybe we Can use it in another interview,[ 6.653955  -3.1051035 -2.950109 ],[9.9987471e-01 5.7761779e-05 6.7445595e-05]
