,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,@USER Klæk det æg!,[ 0.24070255 -0.59575486  0.25636074],[0.4083259  0.17690417 0.4147699 ]
1,negative,negative,TRUE,"Jeg er sindssygt enig i, at præmissen om rød og blå blok er ødelæggende. Medierne kunne gøre en kæmpe forskel, hvis de redefinerede måden de dækker politik på, men desværre er et binært verdensbillede langt mere enkelt at forholde sig til end et systemisk. #dkpol #dkmedier [LINK]",[ 1.6039388 -1.1433433 -0.8520395],[0.8696552  0.05574651 0.07459835]
2,negative,negative,TRUE,@USER @USER @USER @USER @USER @USER Uanset hvad du har lavet før er det ingen undskyldning for at være dum på twitter,[ 1.3129503 -0.4521247 -1.0401014],[0.7897319  0.13518153 0.07508658]
3,negative,negative,TRUE,"@USER Det var derfor jeg lige skrev det dér for en sikkerheds skyld. Det var ikke tydeligt for mig, det var en joke.

Jeg er med på holdet med ikke rigtig at have drømme for livet. Jeg vil ikke sige, mit liv er et mareridt længere, men har måttet lære ikke at have håb og drømme.",[ 0.5159024  -0.18796422 -0.46901965],[0.53529257 0.26479256 0.19991481]
4,neutral,neutral,TRUE,"@USER Sådan skal forsendelser selvfølgelig ikke levers. Hvis du ikke er hjemme eller den ikke kan være i postkasse, er det på posthuset. 
Kan jeg be' dig om at sende pakkenummer samt adressen i pb? Så undersøge jeg nærmere.

^TV",[-0.67234653  1.0199138  -0.18712181],[0.12412671 0.6742245  0.2016488 ]
5,neutral,neutral,TRUE,RT @USER: No plans today? Stream the latest #Riverdale: [LINK] [LINK],[-1.5661033   0.8739244   0.79117614],[0.04341118 0.4980721  0.45851666]
6,negative,neutral,MISS,"La oss si at Chelsea beholder Hazard. 
Kepa
Dave
Luiz
Rudi
Emerson
Jorghino
Kante
RLC
CHO
Hazard
Abraham

Men det viktigste er faktisk å beholde Sarri.
Lukter gull neste år.
#carefree",[ 1.3659126 -1.1717641 -0.5159562],[0.81211346 0.06419743 0.12368912]
7,negative,negative,TRUE,"@USER @USER @USER @USER Synes bare det er lidt underligt at frydes over, at der fjernes forskningsmidler fra kernekraft? Hvis det blev for ærgerlig en drejning, kan vi da godt holde her. Min holdning er, at der er en uforholdsmæssig stor modvilje mod kernekraft i Danmark i forhold til vidensniveauet.",[ 1.4297599 -0.7873329 -0.9991462],[0.83538103 0.09099415 0.0736248 ]
8,negative,neutral,MISS,"Danmark er nok det eneste sted i verden, hvor ytringfriheden åbenbart står over loven....

#DKpol",[ 1.557919  -0.9969319 -0.9234507],[0.86107993 0.06690919 0.0720109 ]
9,negative,negative,TRUE,"Øv @USER! Du snakker udenom i @USER om billigere tandpleje
I praler af at have haft regeringsansvar i 17 af de seneste 20 år &amp; så snakker du om at bureaukratiske tilskudsodninger &amp; at andre skal byde ind med finansiering
Hvad laver jeres ministre? #sundpol #dkpol",[ 1.4795883 -1.0979525 -0.6756477],[0.83904135 0.06373406 0.09722463]
10,neutral,neutral,TRUE,"Hvis brugsen i Pedersker skal overleve, skal medlemmerne begynde at bruge lidt flere penge.

Se mere i nyhederne kl. 19.30. [LINK]",[-0.6905655   1.089475   -0.14103007],[0.11543953 0.6845675  0.19999295]
11,neutral,positive,MISS,"@USER @USER @USER @USER Og her er den lille statistik, som @USER gjorde sit bedste for at skyde ned ;)

#esportdk #csgo #globaloffensive 

[LINK]",[-1.106982    0.6287467   0.49178976],[0.08605842 0.4882146  0.42572695]
12,positive,positive,TRUE,"Anbefalet. Journalistens @USER besøgte @USER i går, og hans reportage giver et fedt (og citatspækket) indtryk af stemningen 👏 #dkmedier #dkpol [LINK]",[-1.2244014   0.31645894  1.0429156 ],[0.06526534 0.30469805 0.6300366 ]
13,negative,negative,TRUE,"@USER @USER @USER Det er jo ikke tilfældigt det hedder national SOCIALISME. Han fik stemmer og kom til magten netop på, at alle fik job, velstand, velfærd og en VW. Han var faktisk ret populær i starten indtil det socialistiske slog igennem og alle mistede det hele igen, inklusive demokratiet",[ 1.4463499 -0.7266468 -1.0871378],[0.83807    0.09540253 0.0665274 ]
14,neutral,negative,MISS,@USER @USER Alle fersken-vingummier på et skib og ud af verden. Asap.,[-0.3271152   0.9607597  -0.57779664],[0.18507054 0.67089456 0.1440349 ]
15,positive,positive,TRUE,Det her er ganske enkelt fremragende #takemymoney [LINK],[-1.5994877   0.8197539   0.91319865],[0.04069116 0.45726013 0.50204873]
16,positive,neutral,MISS,"@USER Ok så går jeg i det mindste ikke glip af noget. Jeg lavede blogger-madder med avokado, hytteost og pocheret æg i stedt (er det stadig blogger mad hvis man ikke tager billede af det?)",[-0.37307966 -0.07852577  0.4086786 ],[0.22085592 0.2965051  0.48263893]
17,negative,negative,TRUE,"Yderligere nedsabling af integrationsområdet skal nu betale for vores sundhedssektor i en tid hvor regeringen har 40 milliarder i overskud på budgettet og hvor Rockwool fonden har vist, at integrationsbesparelserne øger kriminaliteten.
#dkpol
[LINK]",[ 1.088447   -0.4144335  -0.62306833],[0.71271753 0.15857138 0.12871104]
18,negative,negative,TRUE,"Det er imponerede at #dkpol har kunnet slippe afsted med det 'argument' i årevis uden at #dkmedier stiller det indlysende spørgsmål; 'Jamen er vi ikke enige om, at i civiliserede samfund, gør vi aldrig overlagt skade på gidsler'?",[ 1.6392305  -1.1601945  -0.85986555],[0.87488735 0.05323255 0.07188008]
19,positive,positive,TRUE,"Nåh, men så var det jo at jeg var på arbejde i et par dage i Jylland &amp; derfor først nu har fået læst @USER's fremragende analyse &amp; longread om forholdet mellem @USER &amp; @USER for @USER - den kan sagtens tåle at blive delt igen #dkpol [LINK]",[-0.9242542  -0.00774599  1.0717417 ],[0.09208043 0.2302511  0.67766845]
20,positive,positive,TRUE,.@USER i fremragende sejr – kæmpestort tillykke! – gjorde søndagens Liége-Bastogne-Liége til den mest sete udgave i 20 år af denne cykelklassiker og var med til at gøre 28. april til årets stærkeste søndag på TV 2 siden VM-håndboldfinalen. #dkmedier #cyklingtv2 #cycling [LINK],[-1.1561371   0.09202692  1.1350963 ],[0.06958425 0.24242742 0.6879883 ]
21,neutral,neutral,TRUE,"@USER @USER Det vilde er, at Cruyff havde større betydning i FC Barcelona som træner end som spiiller 😁👍🏼",[-0.29376084  0.21650276 -0.12951814],[0.26013008 0.43330652 0.30656338]
22,negative,negative,TRUE,Det er trist og pinligt at opleve direkte løgn på twitter. EU giver hektarstøtte til opdyrkning af jord. Ikke til kødproduktion. #propagandaløgn [LINK],[ 1.54866    -1.158579   -0.85717386],[0.8643707  0.05767146 0.07795781]
23,negative,neutral,MISS,"At behandle fake news som en smitsom sygdom er ikke nødvendigvis en ny tilgang, men interessant, når det kommer fra et af verdens lande med det største forbrug af sociale medier. #FakeNews #dkmedier [LINK]",[ 1.0428394  -0.70921034 -0.5067571 ],[0.72163    0.12514372 0.1532263 ]
24,neutral,positive,MISS,"Dislike homofobiske tilråb. I selskab med @USER, Jonas Bager og Mathias Heiberg, har vi i fællesskab sat nogle ord på episoderne som skete søndag og mandag. 
[LINK]
#sldk #signejtilhomofobi",[-1.3895777   1.1261096   0.45364374],[0.05078213 0.62843454 0.32078335]
25,negative,negative,TRUE,"@USER Selvfølgelig. Der er masser af gode undskyldninger for, at man gjorde, som man gjorde. Man fattede jo åbenlyst ikke sagens alvor. Men at gå i flyverskjul indtil ens egen undersøgelse var klar - en undersøgelse der kun kunne være negativ for bank/ledelse - var et underligt træk.",[ 1.1947955 -0.8091931 -0.6669907],[0.7750788  0.10447796 0.12044323]
26,positive,positive,TRUE,@USER @USER Stort tillykke til dig og Sundhedsstyrelsen :-),[-1.222259    0.17666396  1.101796  ],[0.06549706 0.26531786 0.66918504]
27,neutral,neutral,TRUE,@USER Læs artiklen. Det er de 14 danskere i EP - sammenlignet med de 179 i Folketinget :-),[-0.99500394  0.95347136  0.17499566],[0.08896821 0.6243771  0.28665483]
28,negative,negative,TRUE,"@USER Helt enig. Ignorer ham, ligesom man ignorerer andre, der bare vil provokere. Men man bør nok sikre, at han ikke har væsentlige psykiatriske problemer. Og så må det være helt klart at man ikke kaster med sten efter politiet eller brænder biler af under nogen omstændigheder. #dkpol",[ 1.4507865 -0.7809052 -1.054193 ],[0.84102595 0.09028134 0.06869269]
29,neutral,positive,MISS,"@USER Hvor mange burpees tager du, hvis det udskrives før;-)",[-0.40362954  1.126994   -0.45480087],[0.15217982 0.7032317  0.14458846]
30,negative,negative,TRUE,"Enhver skattelettelse er en underminering af velfærdsstaten ! 

HUSK - Man skal blot lade være med at stemme på de Liberale Partier og de Borgerlige Partier og på Støtte Partiet Dansk Folkeparti når Folketingsvalget 
kommer ! [LINK]",[ 1.5150481 -1.0963624 -0.7931528],[0.8526088  0.06260782 0.08478342]
31,positive,positive,TRUE,"@USER Jeg er oprigtig trist over grunden til dine to stærkt hjælpsomme bøger om sorg, og jeg er ligeledes trist over, at der i januar opstod en anledning til at høre dem. Det sagt, er jeg alligevel glad for, at du gjorde det og at jeg hørte dem, så tak, Esben.",[-0.600357    0.03427051  0.66229874],[0.15573616 0.29376814 0.5504957 ]
32,neutral,negative,MISS,@USER @USER @USER Ja for de havde haft præcis samme betydning for kampen.... Ædru? Næppe.,[-1.0676583   0.75230736  0.3022151 ],[0.09003738 0.55567884 0.3542838 ]
33,negative,negative,TRUE,@USER To gange inden for 14 dage har P1 Debat haft ham på... Er det virkelig nødvendigt @USER ?? Skal vi ikke snart skåne det dyrebare offentlige rum lidt?,[ 0.81888866 -0.01862502 -0.88755834],[0.61946553 0.26809555 0.11243891]
34,neutral,neutral,TRUE,Hurtigt overblik: Her er de vigtigste nyheder fra Finans tirsdag morgen [LINK] [LINK],[-1.280121    1.4305702  -0.04468262],[0.05133588 0.7720745  0.17658956]
35,negative,negative,TRUE,"@USER Hej Daniel, nu var det jo lige Brøndbyfans, der toppede dumheden i går. Men jeg er sådan set fløjtende ligeglad, hvilket hold du hepper på: Stop homofobi! Det gælder alle klubber og fans, det burde egentligt ikke være nødvendigt at understreg, men nu har du det så sort på hvidt.",[ 1.3687643 -1.0795164 -0.690049 ],[0.82369107 0.07120156 0.10510734]
36,neutral,positive,MISS,Se de flotte dronebilleder: Våde marker forsinker landmændenes forårsarbejde [LINK],[-1.4209881   0.89878124  0.67096627],[0.0518832  0.5278248  0.42029193]
37,neutral,neutral,TRUE,"Brøndby IF skifter. '73: Simon Tibbling går ud, og Besar Halimi kommer ind",[-1.0039631  0.6553653  0.6067648],[0.08879232 0.46667293 0.4445347 ]
38,positive,positive,TRUE,Har her til morgen lyttet 3 x til Journey - Separate ways... #maarupmusikinspiration #rock #classic🤘 [LINK],[-1.0721653   0.46200034  0.7635224 ],[0.08398493 0.3894763  0.5265388 ]
39,negative,negative,TRUE,"Et enigt folketing stemmer for en lov, som forbyder “jomfruhinde kirugi” og selv samme folketing tør ikke indfører en mindstealder for omskæring. Det er diskrimination og helt urimelig forskelsbehandling af drenge og piger #dkpol",[ 1.5563756 -1.0202011 -0.9350311],[0.8629413  0.06561275 0.07144587]
40,negative,negative,TRUE,"@USER @USER Det er så pinlig en sag at det er helt vildt! De har fordrejet sandheden i en absurd grad og nu vil de blande sig i ledelsen af skolen? Hvad sker der for dem? Den centraliserende og autoritære tankegang der har udviklet sig er kvalmende, det må da være helt op til skolen!",[ 1.6323396 -1.0366699 -1.0381138],[0.8783165  0.06088566 0.06079779]
41,positive,positive,TRUE,"Aktieinvesteringer giver erhvervslivet mulighed for at vokse og skabe arbejdspladser. Det er til gavn for hele DK. Deltag og hør mere den 3. maj: ""Børsforum: Et aktiemarked for de mange - ikke for de få”. [LINK] #flerebørsnoteringer @USER @USER Cph",[-1.1255443   0.48993367  0.86991185],[0.07470575 0.37579176 0.5495025 ]
42,positive,positive,TRUE,"@USER Jeg synes det er fremragende at du saver United over podcast efter podcast for derefter at blive kaldt United liderlig 😂😂😂
Og ham der synes Monnerup taler og taler har vist aldrig hørt en podcast med Hebo 🤪",[-0.5565444 -0.2612282  0.7685483],[0.16377103 0.22003478 0.6161942 ]
